country;project_name;capture_location;capture_type;planned_capture_rate_kt;planned_capture_efficiency__;emission_type;project_type;project_status;start_date;end_date;trl;data_source;eigl_text_lon;eigl_text_lat;objectid;x;y
Austria;ViennaGreenCO2;Technical University Vienna;Solid amines;0.18;90;Power;Test / Research Facility;Operational;2018;;5;https://www.energy-innovation-austria.at/article/viennagreenco2-2/?lang=en;16.363339389999997;48.20120223;1;1821558.6086000018;6140393.229500003
Belgium;LEILAC;Heidelberg Cement, Lixhe;Calix;18;20;Industrial (Cement);Pilot & Demonstration Facility;Operational;2013;;7;https://www.project-leilac.eu/the-core-technology;5.674664386;50.76066035;2;631700.7498999983;6579066.009400003
Belgium;Steelanol;ArcelorMittal, Ghent;Microbial;100;95;Industrial (Steel);Pilot & Demonstration Facility;In construction;2025;;7;http://www.steelanol.eu/en;3.8098897770000004;51.17668179;3;424114.98999999836;6652606.393100001
Belgium;Power-to-methanol Antwerp BV;Ineos, Antwerp;;;;Industrial (Methanol);Feasability Study;Early Development;;;2;https://powertomethanolantwerp.com/story/#OUR-STORY;4.260805618;51.36043921;4;474310.71180000156;6685300.612400003
Belgium;Antwerp@C;Air Liquide, BASF, Borealis, ExxonMobil, INEOS, TotalEnergies, Fluxys and the Port of Antwerp;;;;Various;Feasability Study;Early Development;;;2;https://www.borealisgroup.com/news/the-antwerp-c-project-takes-a-major-next-step-towards-halving-co2-footprint;4.407552223;51.240464359999976;5;490646.4690999985;6663939.816600002
Denmark;Copenhill;CopenHill WtE Plant, Copenhagen;Amine solvent;500;;Waste to Energy Plant;Pilot & Demonstration Facility;Advanced Development;2025;;7;https://www.babcock.com/home/about/corporate/news/babcock-wilcox-assists-arc-application-eu-carbon-capture-denmark;12.62020007;55.68447144;6;1404874.2454999983;7495857.559799999
Denmark;C4;Prøvestenen Cluster (9 emitters);;3000;;Various;Feasability Study;Early Development;2025;;2;https://www.c4cph.dk/;12.6307103;55.684388870000014;7;1406044.239;7495841.2553
France;DMX Demonstration;AcelorMittal Dunkirk Site;Amine solvent;1500;90;Industrial (Steel);Pilot & Demonstration Facility;Advanced Development;2025;;7;https://3d-ccus.com/;2.291216;51.03764600000001;8;255056.998399999;6627955.5678
Germany;LEILAC2;Hanover;Calix;100;95;Electricity and biomass-rich fuels;Pilot & Demonstration Facility;Advanced Development;2025;;8;https://www.project-leilac.eu/leilac2-project;9.876041000000003;52.374672;9;1099395.8552;6868156.547700003
Germany;Niederaussem Pilot Plant;RWE, Niederaussem;Amine solvent;2.6;90;Power;Pilot & Demonstration Facility;Operational;2009;;8;https://www.rwe.com/en/our-portfolio/innovation-and-technology/technology-research-development/coal-innovation-centre/co2-scrubbing;6.674343;50.99421600000001;10;742984.4640999995;6620270.663900003
Iceland;Orca;Hellisheidi;DAC;4;;DAC;Pilot & Demonstration Facility;Operational;2021;;8;https://climeworks.com/roadmap/orca;-21.43184;64.02656399999998;11;-2385781.5155999996;9356513.015699998
Iceland;Silverstone;Hellisheidi Geothermal Power Plant;Amine solvent;34;95;Power;Pilot & Demonstration Facility;Advanced Development;2025;;8;https://www.carbfix.com/silverstone;-21.43184;64.02656399999998;12;-2385781.5155999996;9356513.015699998
Ireland;Cork CCS Project;Ervia;;;;Power;Feasability Study;Early Development;;;2;https://www.seai.ie/publications/Assessment-of-the-Potential-for-Geological-Storage-of-CO2-for-the-Island-of-Ireland.pdf;-8.246899000000003;51.816358;13;-918040.5973000005;6766988.493199997
Italy;Colleferro  Demonstration;HeidelbergCement's (Italcementi) Plant;Oxyfuel;;;Industrial (Cement);Feasability Study;Early Development;;;3;https://ecra-online.org/research/ccs/;13.00474;41.73705999999999;14;1447681.0346999988;5121673.322099999
Italy;Ravenna Hub/ Adriatic Blue;Eni's activities (Ravenna, Mantua and Ferrare power plants and Venice bio-refinery);;;;Power & Refinery;Commercial CCS Facility;Early Development;;;2;https://www.eni.com/en-IT/operations/italy-ravenna-upstream-activities.html;12.23712765;44.44740428;15;1362230.8187999986;5534942.105099998
Netherlands;Emitters for Porthos;Air Liquide, Air Products, Shell & Exxon Mobil;;2500;;Various;Commercial CCS Facility;Advanced Development;2026;;8;https://www.ebn.nl/en/news/rotterdam-companies-and-porthos-sign-contracts-for-transport-and-storage-of-co2/;4.034594089;51.95379336;16;449128.9594999999;6791775.009400003
Netherlands;AVR-Duiven;AVR WtE plant, Duiven;Amine solvent;400;90;Waste to Energy Plant;Pilot & Demonstration Facility;Operational;2014;;8;https://projecten.topsectorenergie.nl/projecten/avr-duiven-co2-capture-28966;5.999484176;51.97244061;17;667859.5234999992;6795143.896300003
Netherlands;Twence;Aker WtE plant, Hengelo;Amine solvent;100;;Waste to Energy Plant;Pilot & Demonstration Facility;In construction;2023;;8;https://www.twence.com/projects/large-scale-co2-capture;6.784296999999999;52.23425500000001;18;755224.487399999;6842593.096500002
Netherlands;H-Vision;Hydrogen Production Plant, Rotterdam;SMR;4300;88;Hydrogen Production;Feasability Study;Early Development;;;2;https://www.h-vision.nl/en;4.012049179999999;51.94795980999999;19;446619.2718000002;6790721.384499997
Norway;TCM;Mongstad refinery and CHP plant;Amine solvent;100;;Various;Pilot & Demonstration Facility;Operational;2012;;8;http://www.tcmda.com/en/;5.030236000000001;60.804528;20;559963.3101000004;8581077.397200003
Norway;Tiller;SINTEF Pilot Plant;Amine or membranes;0.4;;Various;Test / Research Facility;Operational;2018;;5;https://www.sintef.no/en/all-laboratories/co2-laboratory-tiller/;10.427480999999998;63.353882999999975;21;1160781.8751999997;9187554.5902
Norway;Longship - Brevik;Norcem;Amine solvent;400;90;Industry (Cement);Pilot & Demonstration Facility;In construction;2022;;7;https://www.norcem.no/en/CCS%20at%20Brevik;9.688472;59.061493999999996;22;1078515.7696000002;8193689.986199997
Norway;Longship - Fortum Oslo Varme;Klemestrud;Amine solvent;400;90;Wate-to-Energy Plant;Pilot & Demonstration Facility;Advanced Development;2022;;7;https://www.fortum.com/about-us/newsroom/press-kits/carbon-removal/fortum-oslo-varme-and-our-carbon-capture-project;10.836137;59.84114199999999;23;1206273.2529999986;8364454.513899997
Norway;Barents Blue;Blue ammonia ammonia plant, Hammerfest;;;;Industry (Ammonia);Pilot & Demonstration Facility;Early Development;2025;;7;https://www.horisontenergi.no/blue-ammonia/;23.6068676;70.68884669999997;24;2627904.4805000015;11296711.2025
Norway;Sleipner;Sleipner West;Natural Gas Separation;1000;;Natural Gas Processing;Commercial CCS Facility;Operational;1996;;9;http://www.zeroco2.no/projects/sleipner-west;1.8999999999999995;58.34999999999997;25;211507.0324999988;8041203.8103
Norway;Snøhvit;Melkoya gas processing facility;Natural Gas Separation;500;;Natural Gas Processing;Commercial CCS Facility;Operational;2008;;9;http://www.zeroco2.no/projects/snoehvit;23.59013627;70.68364768;26;2626041.9573;11294961.336599998
Norway;Norsk e-fuel;e-Fuel plant at Mosjøen;DAC;;;DAC;Pilot & Demonstration Facility;Early Development;2024;;7;https://www.norsk-e-fuel.com/;13.197538399999997;65.83657663999999;27;1469143.2544;9832261.2606
